cell_id,alpha,kappa,p,theta,cov_all,nF,covF_fixed,nEnv,covEnv_fixed
a0.7_k2.0_none_p5_th0.28,0.7,2.0,5,0.28,0.0,0,,0,
a0.7_k2.0_none_p5_th0.4,0.7,2.0,5,0.4,0.0,0,,0,
a0.7_k2.0_none_p5_th0.55,0.7,2.0,5,0.55,0.0,154,0.0,365,0.0
a0.7_k2.0_none_p5_th0.72,0.7,2.0,5,0.72,0.0,400,0.0,400,0.0
a0.7_k2.0_none_p5_th0.88,0.7,2.0,5,0.88,0.0,400,0.0,400,0.0
a0.9_k0.5_none_p1_th0.05,0.9,0.5,1,0.05,0.9475,0,,0,
a0.9_k0.5_none_p1_th0.18,0.9,0.5,1,0.18,0.9475,0,,0,
a0.9_k0.5_none_p1_th0.1,0.9,0.5,1,0.1,0.9475,0,,0,
a0.9_k0.5_none_p1_th0.28,0.9,0.5,1,0.28,0.9475,0,,0,
a0.9_k0.5_none_p1_th0.4,0.9,0.5,1,0.4,0.9475,0,,0,
a0.9_k0.5_none_p1_th0.55,0.9,0.5,1,0.55,0.9475,0,,0,
a0.9_k0.5_none_p1_th0.72,0.9,0.5,1,0.72,0.9475,0,,0,
a0.9_k0.5_none_p1_th0.88,0.9,0.5,1,0.88,0.9475,127,0.8976377952755905,241,0.941908713692946
a0.9_k0.5_none_p5_th0.05,0.9,0.5,5,0.05,0.7475,0,,0,
a0.9_k0.5_none_p5_th0.18,0.9,0.5,5,0.18,0.01,0,,0,
a0.9_k0.5_none_p5_th0.1,0.9,0.5,5,0.1,0.33,0,,0,
a0.9_k0.5_none_p5_th0.28,0.9,0.5,5,0.28,0.0,0,,0,
a0.9_k0.5_none_p5_th0.4,0.9,0.5,5,0.4,0.0,0,,0,
a0.9_k0.5_none_p5_th0.55,0.9,0.5,5,0.55,0.0,11,,59,0.0
a0.9_k0.5_none_p5_th0.72,0.9,0.5,5,0.72,0.0,400,0.0,400,0.0
a0.9_k0.5_none_p5_th0.88,0.9,0.5,5,0.88,0.0,400,0.0,400,0.0
a0.9_k2.0_none_p1_th0.05,0.9,2.0,1,0.05,0.96,0,,0,
a0.9_k2.0_none_p1_th0.18,0.9,2.0,1,0.18,0.96,0,,0,
a0.9_k2.0_none_p1_th0.1,0.9,2.0,1,0.1,0.96,0,,0,
a0.9_k2.0_none_p1_th0.28,0.9,2.0,1,0.28,0.96,0,,0,
a0.9_k2.0_none_p1_th0.4,0.9,2.0,1,0.4,0.96,0,,0,
a0.9_k2.0_none_p1_th0.55,0.9,2.0,1,0.55,0.96,0,,0,
a0.9_k2.0_none_p1_th0.72,0.9,2.0,1,0.72,0.96,0,,0,
a0.9_k2.0_none_p1_th0.88,0.9,2.0,1,0.88,0.96,116,0.8793103448275862,218,0.926605504587156
a0.9_k2.0_none_p5_th0.05,0.9,2.0,5,0.05,0.7675,0,,0,
a0.9_k2.0_none_p5_th0.18,0.9,2.0,5,0.18,0.0125,0,,0,
a0.9_k2.0_none_p5_th0.1,0.9,2.0,5,0.1,0.3625,0,,0,
a0.9_k2.0_none_p5_th0.28,0.9,2.0,5,0.28,0.0,0,,0,
a0.9_k2.0_none_p5_th0.4,0.9,2.0,5,0.4,0.0,0,,0,
a0.9_k2.0_none_p5_th0.55,0.9,2.0,5,0.55,0.0,6,,59,0.0
a0.9_k2.0_none_p5_th0.72,0.9,2.0,5,0.72,0.0,400,0.0,400,0.0
a0.9_k2.0_none_p5_th0.88,0.9,2.0,5,0.88,0.0,400,0.0,400,0.0
