experiment,cell_id,n,p,q,alpha,cv_method,correction,rejects,B,seed
phase3_size_grid,n1000_a0.9_p2,1000,2,899,0.9,exact_jacobi,johnstone2009,1217,20000,20260823
phase3_size_grid,n1000_a0.9_p2,1000,2,899,0.9,tw,johnstone2009,1312,20000,20260823
phase3_size_grid,n1000_a0.9_p2,1000,2,899,0.9,naive_chi2,none,0,20000,20260823
phase3_size_grid,n1000_a0.9_p5,1000,5,899,0.9,exact_jacobi,johnstone2009,1087,20000,20260823
phase3_size_grid,n1000_a0.9_p5,1000,5,899,0.9,tw,johnstone2009,1432,20000,20260823
phase3_size_grid,n1000_a0.9_p5,1000,5,899,0.9,naive_chi2,none,0,20000,20260823
phase3_size_grid,n1000_a0.9_p25,1000,25,899,0.9,exact_jacobi,johnstone2009,1448,20000,20260823
phase3_size_grid,n1000_a0.9_p25,1000,25,899,0.9,tw,johnstone2009,2024,20000,20260823
phase3_size_grid,n1000_a0.9_p25,1000,25,899,0.9,naive_chi2,none,10693,20000,20260823
phase3_size_grid,n1000_a0.9_p100,1000,100,899,0.9,exact_jacobi,johnstone2009,5921,20000,20260823
phase3_size_grid,n1000_a0.9_p100,1000,100,899,0.9,tw,johnstone2009,8461,20000,20260823
phase3_size_grid,n1000_a0.9_p100,1000,100,899,0.9,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n2000_a0.1_p1,2000,1,200,0.1,exact_jacobi,johnstone2009,1000,20000,20260823
phase3_size_grid,n2000_a0.1_p1,2000,1,200,0.1,tw,johnstone2009,937,20000,20260823
phase3_size_grid,n2000_a0.1_p1,2000,1,200,0.1,naive_chi2,none,809,20000,20260823
phase3_size_grid,n2000_a0.1_p2,2000,2,200,0.1,exact_jacobi,johnstone2009,1004,20000,20260823
phase3_size_grid,n2000_a0.1_p2,2000,2,200,0.1,tw,johnstone2009,1011,20000,20260823
phase3_size_grid,n2000_a0.1_p2,2000,2,200,0.1,naive_chi2,none,3060,20000,20260823
phase3_size_grid,n2000_a0.1_p5,2000,5,200,0.1,exact_jacobi,johnstone2009,964,20000,20260823
phase3_size_grid,n2000_a0.1_p5,2000,5,200,0.1,tw,johnstone2009,1025,20000,20260823
phase3_size_grid,n2000_a0.1_p5,2000,5,200,0.1,naive_chi2,none,15320,20000,20260823
phase3_size_grid,n2000_a0.1_p25,2000,25,200,0.1,exact_jacobi,johnstone2009,937,20000,20260823
phase3_size_grid,n2000_a0.1_p25,2000,25,200,0.1,tw,johnstone2009,1129,20000,20260823
phase3_size_grid,n2000_a0.1_p25,2000,25,200,0.1,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n2000_a0.1_p100,2000,100,200,0.1,exact_jacobi,johnstone2009,1129,20000,20260823
phase3_size_grid,n2000_a0.1_p100,2000,100,200,0.1,tw,johnstone2009,1070,20000,20260823
phase3_size_grid,n2000_a0.1_p100,2000,100,200,0.1,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n2000_a0.3_p1,2000,1,600,0.3,exact_jacobi,johnstone2009,993,20000,20260823
phase3_size_grid,n2000_a0.3_p1,2000,1,600,0.3,tw,johnstone2009,778,20000,20260823
phase3_size_grid,n2000_a0.3_p1,2000,1,600,0.3,naive_chi2,none,490,20000,20260823
phase3_size_grid,n2000_a0.3_p2,2000,2,600,0.3,exact_jacobi,johnstone2009,1027,20000,20260823
phase3_size_grid,n2000_a0.3_p2,2000,2,600,0.3,tw,johnstone2009,899,20000,20260823
phase3_size_grid,n2000_a0.3_p2,2000,2,600,0.3,naive_chi2,none,2023,20000,20260823
phase3_size_grid,n2000_a0.3_p5,2000,5,600,0.3,exact_jacobi,johnstone2009,1084,20000,20260823
phase3_size_grid,n2000_a0.3_p5,2000,5,600,0.3,tw,johnstone2009,975,20000,20260823
phase3_size_grid,n2000_a0.3_p5,2000,5,600,0.3,naive_chi2,none,13269,20000,20260823
phase3_size_grid,n2000_a0.3_p25,2000,25,600,0.3,exact_jacobi,johnstone2009,1025,20000,20260823
phase3_size_grid,n2000_a0.3_p25,2000,25,600,0.3,tw,johnstone2009,1052,20000,20260823
phase3_size_grid,n2000_a0.3_p25,2000,25,600,0.3,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n2000_a0.3_p100,2000,100,600,0.3,exact_jacobi,johnstone2009,927,20000,20260823
phase3_size_grid,n2000_a0.3_p100,2000,100,600,0.3,tw,johnstone2009,1042,20000,20260823
phase3_size_grid,n2000_a0.3_p100,2000,100,600,0.3,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n2000_a0.5_p1,2000,1,1000,0.5,exact_jacobi,johnstone2009,1038,20000,20260823
phase3_size_grid,n2000_a0.5_p1,2000,1,1000,0.5,tw,johnstone2009,765,20000,20260823
phase3_size_grid,n2000_a0.5_p1,2000,1,1000,0.5,naive_chi2,none,193,20000,20260823
phase3_size_grid,n2000_a0.5_p2,2000,2,1000,0.5,exact_jacobi,johnstone2009,926,20000,20260823
phase3_size_grid,n2000_a0.5_p2,2000,2,1000,0.5,tw,johnstone2009,819,20000,20260823
phase3_size_grid,n2000_a0.5_p2,2000,2,1000,0.5,naive_chi2,none,854,20000,20260823
phase3_size_grid,n2000_a0.5_p5,2000,5,1000,0.5,exact_jacobi,johnstone2009,1039,20000,20260823
phase3_size_grid,n2000_a0.5_p5,2000,5,1000,0.5,tw,johnstone2009,880,20000,20260823
phase3_size_grid,n2000_a0.5_p5,2000,5,1000,0.5,naive_chi2,none,9246,20000,20260823
phase3_size_grid,n2000_a0.5_p25,2000,25,1000,0.5,exact_jacobi,johnstone2009,1155,20000,20260823
phase3_size_grid,n2000_a0.5_p25,2000,25,1000,0.5,tw,johnstone2009,1083,20000,20260823
phase3_size_grid,n2000_a0.5_p25,2000,25,1000,0.5,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n2000_a0.5_p100,2000,100,1000,0.5,exact_jacobi,johnstone2009,996,20000,20260823
