n,alpha,q,kappa,rho,theta,bias_mc,bias_se,bias_formula,rel_gap
500,0.5,250,0.5,0.4472,0.4136,0.184549,0.001236,0.185516,-0.0052
500,0.5,250,0.5,0.4472,0.4864,0.153600,0.001140,0.154527,-0.0060
500,0.5,250,0.5,0.4472,0.5591,0.125599,0.001041,0.126468,-0.0069
500,0.5,250,0.5,0.4472,0.6318,0.100115,0.000938,0.100909,-0.0079
500,0.5,250,0.5,0.4472,0.7045,0.076828,0.000829,0.077531,-0.0091
500,0.5,250,0.5,0.4472,0.7773,0.055444,0.000710,0.056037,-0.0106
500,0.5,250,0.5,0.4472,0.85,0.035798,0.000575,0.036261,-0.0128
500,0.5,250,1.0,0.7071,0.05,0.639044,0.001402,0.639763,-0.0011
500,0.5,250,1.0,0.7071,0.1227,0.551943,0.001358,0.552547,-0.0011
500,0.5,250,1.0,0.7071,0.1955,0.475206,0.001303,0.475841,-0.0013
500,0.5,250,1.0,0.7071,0.2682,0.407317,0.001242,0.408028,-0.0017
500,0.5,250,1.0,0.7071,0.3409,0.346780,0.001178,0.347568,-0.0023
500,0.5,250,1.0,0.7071,0.4136,0.292481,0.001112,0.293327,-0.0029
500,0.5,250,1.0,0.7071,0.4864,0.243453,0.001041,0.244329,-0.0036
500,0.5,250,1.0,0.7071,0.5591,0.199089,0.000966,0.199964,-0.0044
500,0.5,250,1.0,0.7071,0.6318,0.158710,0.000883,0.159552,-0.0053
500,0.5,250,1.0,0.7071,0.7045,0.121811,0.000792,0.122587,-0.0063
500,0.5,250,1.0,0.7071,0.7773,0.087923,0.000687,0.088602,-0.0077
500,0.5,250,1.0,0.7071,0.85,0.056784,0.000563,0.057333,-0.0096
500,0.5,250,2.0,0.8944,0.05,0.809076,0.000983,0.809244,-0.0002
500,0.5,250,2.0,0.8944,0.1227,0.698851,0.001031,0.698923,-0.0001
500,0.5,250,2.0,0.8944,0.1955,0.601721,0.001038,0.601896,-0.0003
500,0.5,250,2.0,0.8944,0.2682,0.515781,0.001027,0.516119,-0.0007
500,0.5,250,2.0,0.8944,0.3409,0.439142,0.001005,0.439643,-0.0011
500,0.5,250,2.0,0.8944,0.4136,0.370395,0.000975,0.371033,-0.0017
500,0.5,250,2.0,0.8944,0.4864,0.308319,0.000935,0.309054,-0.0024
500,0.5,250,2.0,0.8944,0.5591,0.252146,0.000887,0.252936,-0.0031
500,0.5,250,2.0,0.8944,0.6318,0.201017,0.000827,0.201819,-0.0040
500,0.5,250,2.0,0.8944,0.7045,0.154292,0.000754,0.155062,-0.0050
500,0.5,250,2.0,0.8944,0.7773,0.111377,0.000665,0.112074,-0.0062
500,0.5,250,2.0,0.8944,0.85,0.071943,0.000553,0.072521,-0.0080
2000,0.1,200,0.2,0.1961,0.05,0.128641,0.001776,0.128490,0.0012
2000,0.1,200,0.2,0.1961,0.1227,0.081689,0.001426,0.081762,-0.0009
2000,0.1,200,0.2,0.1961,0.1955,0.057037,0.001198,0.057175,-0.0024
2000,0.1,200,0.2,0.1961,0.2682,0.041895,0.001031,0.042040,-0.0035
2000,0.1,200,0.2,0.1961,0.3409,0.031640,0.000899,0.031774,-0.0042
2000,0.1,200,0.2,0.1961,0.4136,0.024237,0.000789,0.024353,-0.0047
2000,0.1,200,0.2,0.1961,0.4864,0.018635,0.000693,0.018731,-0.0051
2000,0.1,200,0.2,0.1961,0.5591,0.014258,0.000607,0.014335,-0.0054
2000,0.1,200,0.2,0.1961,0.6318,0.010741,0.000528,0.010800,-0.0055
2000,0.1,200,0.2,0.1961,0.7045,0.007852,0.000452,0.007895,-0.0055
2000,0.1,200,0.2,0.1961,0.7773,0.005433,0.000376,0.005462,-0.0053
2000,0.1,200,0.2,0.1961,0.85,0.003384,0.000297,0.003401,-0.0048
2000,0.1,200,0.5,0.4472,0.05,0.292775,0.001659,0.293002,-0.0008
2000,0.1,200,0.5,0.4472,0.1227,0.185756,0.001348,0.186447,-0.0037
2000,0.1,200,0.5,0.4472,0.1955,0.129618,0.001143,0.130380,-0.0058
2000,0.1,200,0.5,0.4472,0.2682,0.095155,0.000991,0.095867,-0.0074
2000,0.1,200,0.5,0.4472,0.3409,0.071828,0.000869,0.072456,-0.0087
2000,0.1,200,0.5,0.4472,0.4136,0.054993,0.000766,0.055532,-0.0097
2000,0.1,200,0.5,0.4472,0.4864,0.042257,0.000676,0.042712,-0.0107
2000,0.1,200,0.5,0.4472,0.5591,0.032312,0.000594,0.032689,-0.0115
2000,0.1,200,0.5,0.4472,0.6318,0.024322,0.000518,0.024627,-0.0124
2000,0.1,200,0.5,0.4472,0.7045,0.017762,0.000444,0.018003,-0.0134
2000,0.1,200,0.5,0.4472,0.7773,0.012275,0.000370,0.012456,-0.0145
2000,0.1,200,0.5,0.4472,0.85,0.007630,0.000293,0.007755,-0.0162
2000,0.1,200,1.0,0.7071,0.05,0.462618,0.001408,0.463277,-0.0014
2000,0.1,200,1.0,0.7071,0.1227,0.293429,0.001185,0.294799,-0.0046
2000,0.1,200,1.0,0.7071,0.1955,0.204709,0.001032,0.206149,-0.0070
2000,0.1,200,1.0,0.7071,0.2682,0.150254,0.000913,0.151579,-0.0087
2000,0.1,200,1.0,0.7071,0.3409,0.113399,0.000813,0.114563,-0.0102
2000,0.1,200,1.0,0.7071,0.4136,0.086805,0.000725,0.087804,-0.0114
2000,0.1,200,1.0,0.7071,0.4864,0.066690,0.000645,0.067534,-0.0125
2000,0.1,200,1.0,0.7071,0.5591,0.050983,0.000571,0.051686,-0.0136
2000,0.1,200,1.0,0.7071,0.6318,0.038366,0.000500,0.038939,-0.0147
2000,0.1,200,1.0,0.7071,0.7045,0.028010,0.000431,0.028465,-0.0160
2000,0.1,200,1.0,0.7071,0.7773,0.019348,0.000361,0.019695,-0.0176
2000,0.1,200,1.0,0.7071,0.85,0.012018,0.000286,0.012262,-0.0199
2000,0.1,200,2.0,0.8944,0.05,0.584980,0.001095,0.586004,-0.0017
2000,0.1,200,2.0,0.8944,0.1227,0.370987,0.000995,0.372894,-0.0051
2000,0.1,200,2.0,0.8944,0.1955,0.258790,0.000908,0.260760,-0.0076
2000,0.1,200,2.0,0.8944,0.2682,0.189932,0.000829,0.191734,-0.0094
2000,0.1,200,2.0,0.8944,0.3409,0.143332,0.000754,0.144912,-0.0109
2000,0.1,200,2.0,0.8944,0.4136,0.109709,0.000682,0.111065,-0.0122
2000,0.1,200,2.0,0.8944,0.4864,0.084278,0.000614,0.085424,-0.0134
2000,0.1,200,2.0,0.8944,0.5591,0.064422,0.000548,0.065378,-0.0146
2000,0.1,200,2.0,0.8944,0.6318,0.048473,0.000483,0.049255,-0.0159
2000,0.1,200,2.0,0.8944,0.7045,0.035382,0.000418,0.036006,-0.0173
2000,0.1,200,2.0,0.8944,0.7773,0.024435,0.000352,0.024912,-0.0191
2000,0.1,200,2.0,0.8944,0.85,0.015172,0.000280,0.015510,-0.0218
2000,0.3,600,0.2,0.1961,0.05,0.166571,0.001190,0.166845,-0.0016
2000,0.3,600,0.2,0.1961,0.1227,0.133028,0.001071,0.133758,-0.0055
2000,0.3,600,0.2,0.1961,0.1955,0.107404,0.000966,0.108350,-0.0087
2000,0.3,600,0.2,0.1961,0.2682,0.087228,0.000873,0.088275,-0.0119
2000,0.3,600,0.2,0.1961,0.3409,0.070913,0.000789,0.071994,-0.0150
2000,0.3,600,0.2,0.1961,0.4136,0.057451,0.000712,0.058523,-0.0183
2000,0.3,600,0.2,0.1961,0.4864,0.046145,0.000640,0.047180,-0.0219
2000,0.3,600,0.2,0.1961,0.5591,0.036544,0.000571,0.037520,-0.0260
2000,0.3,600,0.2,0.1961,0.6318,0.028285,0.000504,0.029185,-0.0308
2000,0.3,600,0.2,0.1961,0.7045,0.021111,0.000437,0.021920,-0.0369
2000,0.3,600,0.2,0.1961,0.7773,0.014822,0.000368,0.015522,-0.0451
2000,0.3,600,0.2,0.1961,0.85,0.009288,0.000294,0.009861,-0.0581
2000,0.3,600,0.5,0.4472,0.05,0.380157,0.001103,0.380465,-0.0008
2000,0.3,600,0.5,0.4472,0.1227,0.304206,0.001003,0.305015,-0.0027
2000,0.3,600,0.5,0.4472,0.1955,0.246016,0.000910,0.247076,-0.0043
2000,0.3,600,0.5,0.4472,0.2682,0.200119,0.000825,0.201298,-0.0059
2000,0.3,600,0.5,0.4472,0.3409,0.162952,0.000749,0.164171,-0.0074
2000,0.3,600,0.5,0.4472,0.4136,0.132247,0.000679,0.133454,-0.0090
2000,0.3,600,0.5,0.4472,0.4864,0.106428,0.000613,0.107586,-0.0108
2000,0.3,600,0.5,0.4472,0.5591,0.084475,0.000549,0.085559,-0.0127
2000,0.3,600,0.5,0.4472,0.6318,0.065563,0.000487,0.066552,-0.0149
2000,0.3,600,0.5,0.4472,0.7045,0.049107,0.000425,0.049985,-0.0176
2000,0.3,600,0.5,0.4472,0.7773,0.034646,0.000360,0.035396,-0.0212
2000,0.3,600,0.5,0.4472,0.85,0.021884,0.000288,0.022486,-0.0268
2000,0.3,600,1.0,0.7071,0.05,0.601248,0.000916,0.601568,-0.0005
2000,0.3,600,1.0,0.7071,0.1227,0.481443,0.000859,0.482271,-0.0017
2000,0.3,600,1.0,0.7071,0.1955,0.389564,0.000792,0.390661,-0.0028
2000,0.3,600,1.0,0.7071,0.2682,0.317052,0.000728,0.318281,-0.0039
2000,0.3,600,1.0,0.7071,0.3409,0.258306,0.000669,0.259577,-0.0049
2000,0.3,600,1.0,0.7071,0.4136,0.209754,0.000614,0.211009,-0.0059
