experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.22,0.0,0.82,0.7933333333333333,0.6069967515091854,0.5780533020595591,0.6324259324202726,0.61,300,20260823,0.0,0.08848405807059012
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.32,0.0,0.9733333333333334,0.9666666666666667,0.6546507990924273,0.6278004569906108,0.6811748392500269,0.66,300,20260823,0.0,0.16668568874532097
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.45,0.0,1.0,1.0,0.7252422557634775,0.7000854489410085,0.7478639512808539,0.725,300,20260823,0.0,0.008530752362376326
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.62,0.0,1.0,1.0,0.8077658913003547,0.7909495030021869,0.8244170491984887,0.81,300,20260823,0.0,0.10143511966885121
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.8,0.0,1.0,1.0,0.9008942982513979,0.8902865324162067,0.9107279575232061,0.9,300,20260823,0.32,0.07002259496191243
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.93,0.0,1.0,1.0,0.9649522507998141,0.9614434292035319,0.9682006012592532,0.9650000000000001,300,20260823,1.0,0.009916319783503269
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.01,0.0,0.08,0.07333333333333333,0.6059688148044877,0.5868867111984473,0.6263201745908429,0.505,300,20260823,0.0,4.100206496654286
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.02,0.0,0.10333333333333333,0.09333333333333334,0.6110992833815935,0.5906772178611217,0.6297316708536697,0.51,300,20260823,0.0,4.115514614363144
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.04,0.0,0.31,0.30333333333333334,0.6347788840914435,0.6130642480327771,0.6582944157674477,0.52,300,20260823,0.0,4.722966145345259
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.07,0.0,0.66,0.63,0.6632043494809388,0.6417078597489632,0.6846305657783888,0.535,300,20260823,0.0,5.368836084610049
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.1,0.0,0.9366666666666666,0.9366666666666666,0.6975290520917992,0.6767312086761381,0.7237850637527256,0.55,300,20260823,0.0,6.343047806383401
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.15,0.0,1.0,1.0,0.7476053514416707,0.7261247526576866,0.768765198332575,0.575,300,20260823,0.0,7.828803131019187
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.22,0.0,1.0,1.0,0.7991539668003185,0.7783594259072195,0.8158943526914724,0.61,300,20260823,0.0,9.328447349728638
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.32,0.0,1.0,1.0,0.8561190375003329,0.8424164380970895,0.8702132235691226,0.66,300,20260823,0.0,11.190995165221452
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.45,0.0,1.0,1.0,0.9043875682771818,0.8947516678171135,0.9122513379524008,0.725,300,20260823,0.38,12.763805275755981
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.62,0.0,1.0,1.0,0.9466830354019227,0.9409187815889841,0.9514193278628786,0.81,300,20260823,1.0,14.253884702144433
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.8,0.0,1.0,1.0,0.9769171054858032,0.9743014352954761,0.9792436616161347,0.9,300,20260823,1.0,15.466627050125396
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,0.93,0.0,1.0,1.0,0.9926678602348182,0.9917782457813774,0.9934751285398218,0.9650000000000001,300,20260823,1.0,15.898862623110986
