experiment,cell_id,n,p,q,alpha,kappa,theta,hetero,B,pred_wall_h,pred_ram_gb,placement,notebook_id,local_eligible
phase3_size_grid,n1000_a0.3_p2,1000,2,300,0.3,,,,20000,0.2782738095238095,0.35750527381896974,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.3_p5,1000,5,300,0.3,,,,20000,0.2782738095238095,0.35906989574432374,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.3_p25,1000,25,300,0.3,,,,20000,0.2782738095238095,0.3695007085800171,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.3_p100,1000,100,300,0.3,,,,20000,0.2782738095238095,0.4086162567138672,NOTEBOOK,NB14,YES
phase3_size_grid,n1000_a0.5_p1,1000,1,500,0.5,,,,20000,0.4766865079365079,0.46129186153411866,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.5_p2,1000,2,500,0.5,,,,20000,0.4766865079365079,0.46181340217590333,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.5_p5,1000,5,500,0.5,,,,20000,0.4766865079365079,0.46337802410125734,NOTEBOOK,NB14,YES
phase3_size_grid,n1000_a0.5_p25,1000,25,500,0.5,,,,20000,0.4766865079365079,0.4738088369369507,NOTEBOOK,NB14,YES
phase3_size_grid,n1000_a0.5_p100,1000,100,500,0.5,,,,20000,0.4766865079365079,0.5129243850708007,NOTEBOOK,NB14,YES
phase3_size_grid,n1000_a0.7_p1,1000,1,699,0.7,,,,20000,0.7725706845238094,0.5650784492492675,NOTEBOOK,NB14,YES
phase3_size_grid,n1000_a0.7_p2,1000,2,699,0.7,,,,20000,0.7725706845238094,0.5655999898910522,NOTEBOOK,NB14,YES
phase3_size_grid,n1000_a0.7_p5,1000,5,699,0.7,,,,20000,0.7725706845238094,0.5671646118164062,NOTEBOOK,NB14,YES
phase3_size_grid,n1000_a0.7_p25,1000,25,699,0.7,,,,20000,0.7725706845238094,0.5775954246520996,NOTEBOOK,NB14,YES
phase3_size_grid,n1000_a0.7_p100,1000,100,699,0.7,,,,20000,0.7725706845238094,0.6167109727859497,NOTEBOOK,NB13,YES
phase3_size_grid,n1000_a0.9_p1,1000,1,899,0.9,,,,20000,1.1689000496031745,0.6693865776062011,NOTEBOOK,NB14,YES
phase3_size_grid,n1000_a0.9_p2,1000,2,899,0.9,,,,20000,1.1689000496031745,0.6699081182479858,NOTEBOOK,NB13,YES
phase3_size_grid,n1000_a0.9_p5,1000,5,899,0.9,,,,20000,1.1689000496031745,0.6714727401733398,NOTEBOOK,NB13,YES
phase3_size_grid,n1000_a0.9_p25,1000,25,899,0.9,,,,20000,1.1689000496031745,0.6819035530090332,NOTEBOOK,NB13,YES
phase3_size_grid,n1000_a0.9_p100,1000,100,899,0.9,,,,20000,1.1689000496031745,0.7210191011428833,NOTEBOOK,NB13,YES
phase3_size_grid,n2000_a0.1_p1,2000,1,200,0.1,,,,8000,0.10634920634920635,0.40965933799743653,NOTEBOOK,NB13,YES
phase3_size_grid,n2000_a0.1_p2,2000,2,200,0.1,,,,8000,0.10634920634920635,0.41070241928100587,NOTEBOOK,NB13,YES
phase3_size_grid,n2000_a0.1_p5,2000,5,200,0.1,,,,8000,0.10634920634920635,0.4138316631317139,NOTEBOOK,NB13,YES
phase3_size_grid,n2000_a0.1_p25,2000,25,200,0.1,,,,8000,0.10634920634920635,0.4346932888031006,NOTEBOOK,NB11,YES
phase3_size_grid,n2000_a0.1_p100,2000,100,200,0.1,,,,8000,0.10634920634920635,0.5129243850708007,NOTEBOOK,NB11,YES
phase3_size_grid,n2000_a0.3_p1,2000,1,600,0.3,,,,8000,0.42380952380952375,0.8268918514251709,NOTEBOOK,NB12,YES
phase3_size_grid,n2000_a0.3_p2,2000,2,600,0.3,,,,8000,0.42380952380952375,0.8279349327087402,NOTEBOOK,NB12,YES
phase3_size_grid,n2000_a0.3_p5,2000,5,600,0.3,,,,8000,0.42380952380952375,0.8310641765594482,NOTEBOOK,NB12,YES
phase3_size_grid,n2000_a0.3_p25,2000,25,600,0.3,,,,8000,0.42380952380952375,0.8519258022308349,NOTEBOOK,NB12,YES
phase3_size_grid,n2000_a0.3_p100,2000,100,600,0.3,,,,8000,0.42380952380952375,0.9301568984985351,NOTEBOOK,NB11,YES
phase3_size_grid,n2000_a0.5_p1,2000,1,1000,0.5,,,,8000,1.0587301587301587,1.2441243648529052,NOTEBOOK,NB12,YES
phase3_size_grid,n2000_a0.5_p2,2000,2,1000,0.5,,,,8000,1.0587301587301587,1.2451674461364746,NOTEBOOK,NB12,YES
phase3_size_grid,n2000_a0.5_p5,2000,5,1000,0.5,,,,8000,1.0587301587301587,1.2482966899871826,NOTEBOOK,NB12,YES
phase3_size_grid,n2000_a0.5_p25,2000,25,1000,0.5,,,,8000,1.0587301587301587,1.2691583156585693,NOTEBOOK,NB12,YES
phase3_size_grid,n2000_a0.5_p100,2000,100,1000,0.5,,,,8000,1.0587301587301587,1.3473894119262695,NOTEBOOK,NB11,YES
phase3_size_grid,n2000_a0.7_p1,2000,1,1399,0.7,,,,8000,2.0083343253968255,1.6603137969970703,NOTEBOOK,NB00,NO
phase3_size_grid,n2000_a0.7_p2,2000,2,1399,0.7,,,,8000,2.0083343253968255,1.6613568782806396,NOTEBOOK,NB01,NO
phase3_size_grid,n2000_a0.7_p5,2000,5,1399,0.7,,,,8000,2.0083343253968255,1.6644861221313476,NOTEBOOK,NB02,NO
phase3_size_grid,n2000_a0.7_p25,2000,25,1399,0.7,,,,8000,2.0083343253968255,1.6853477478027343,NOTEBOOK,NB03,NO
phase3_size_grid,n2000_a0.7_p100,2000,100,1399,0.7,,,,8000,2.0083343253968255,1.7635788440704345,NOTEBOOK,NB04,NO
phase3_size_grid,n2000_a0.9_p1,2000,1,1799,0.9,,,,8000,3.277381944444444,2.077546310424805,NOTEBOOK,NB00,NO
phase3_size_grid,n2000_a0.9_p2,2000,2,1799,0.9,,,,8000,3.277381944444444,2.078589391708374,NOTEBOOK,NB01,NO
phase3_size_grid,n2000_a0.9_p5,2000,5,1799,0.9,,,,8000,3.277381944444444,2.081718635559082,NOTEBOOK,NB02,NO
phase3_size_grid,n2000_a0.9_p25,2000,25,1799,0.9,,,,8000,3.277381944444444,2.102580261230469,NOTEBOOK,NB03,NO
phase3_size_grid,n2000_a0.9_p100,2000,100,1799,0.9,,,,8000,3.277381944444444,2.180811357498169,NOTEBOOK,NB04,NO
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,,,,3600,0.03003487723214286,0.20339001417160035,NOTEBOOK,NB11,YES
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,,,,3600,0.03003487723214286,0.20391155481338502,NOTEBOOK,NB05,YES
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,,,,3600,0.03085803571428571,0.21629814505577089,NOTEBOOK,NB11,YES
phase3_power_surface,n250_a0.5_p5,250,5,124,0.5,,,,3600,0.03085803571428571,0.21681968569755555,NOTEBOOK,NB11,YES
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,,,,3600,0.032799999999999996,0.22933666110038758,NOTEBOOK,NB11,YES
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,,,,3600,0.032799999999999996,0.22985820174217225,NOTEBOOK,NB11,YES
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,,,,3600,0.03223214285714286,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,,,,3600,0.03223214285714286,0.25476176738739015,NOTEBOOK,NB09,YES
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,,,,3600,0.08580357142857142,0.46129186153411866,NOTEBOOK,NB11,YES
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,,,,3600,0.08580357142857142,0.46337802410125734,NOTEBOOK,NB11,YES
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,,,,3600,0.21040200892857142,0.6693865776062011,NOTEBOOK,NB11,YES
phase3_power_surface,n1000_a0.9_p5,1000,5,899,0.9,,,,3600,0.21040200892857142,0.6714727401733398,NOTEBOOK,NB11,YES
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,,,,3600,0.08580357142857142,0.45,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p1_th0.05,1000,1,100,0.1,0.5,0.05,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p1_th0.1,1000,1,100,0.1,0.5,0.1,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p1_th0.18,1000,1,100,0.1,0.5,0.18,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p1_th0.28,1000,1,100,0.1,0.5,0.28,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p1_th0.4,1000,1,100,0.1,0.5,0.4,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p1_th0.55,1000,1,100,0.1,0.5,0.55,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p1_th0.72,1000,1,100,0.1,0.5,0.72,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p1_th0.88,1000,1,100,0.1,0.5,0.88,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p5_th0.05,2000,5,200,0.1,0.5,0.05,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p5_th0.1,2000,5,200,0.1,0.5,0.1,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p5_th0.18,2000,5,200,0.1,0.5,0.18,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p5_th0.28,2000,5,200,0.1,0.5,0.28,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p5_th0.4,2000,5,200,0.1,0.5,0.4,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p5_th0.55,2000,5,200,0.1,0.5,0.55,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p5_th0.72,2000,5,200,0.1,0.5,0.72,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k0.5_none_p5_th0.88,2000,5,200,0.1,0.5,0.88,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p1_th0.05,1000,1,100,0.1,2.0,0.05,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p1_th0.1,1000,1,100,0.1,2.0,0.1,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p1_th0.18,1000,1,100,0.1,2.0,0.18,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p1_th0.28,1000,1,100,0.1,2.0,0.28,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p1_th0.4,1000,1,100,0.1,2.0,0.4,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p1_th0.55,1000,1,100,0.1,2.0,0.55,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p1_th0.72,1000,1,100,0.1,2.0,0.72,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p1_th0.88,1000,1,100,0.1,2.0,0.88,none,400,0.04666666666666667,0.2526756048202515,NOTEBOOK,NB04,YES
phase3_decisive_grid,a0.1_k2.0_none_p5_th0.05,2000,5,200,0.1,2.0,0.05,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p5_th0.1,2000,5,200,0.1,2.0,0.1,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p5_th0.18,2000,5,200,0.1,2.0,0.18,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p5_th0.28,2000,5,200,0.1,2.0,0.28,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p5_th0.4,2000,5,200,0.1,2.0,0.4,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p5_th0.55,2000,5,200,0.1,2.0,0.55,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p5_th0.72,2000,5,200,0.1,2.0,0.72,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.1_k2.0_none_p5_th0.88,2000,5,200,0.1,2.0,0.88,none,400,0.08655555555555557,0.4138316631317139,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p1_th0.05,1000,1,300,0.3,0.5,0.05,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p1_th0.1,1000,1,300,0.3,0.5,0.1,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p1_th0.18,1000,1,300,0.3,0.5,0.18,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p1_th0.28,1000,1,300,0.3,0.5,0.28,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p1_th0.4,1000,1,300,0.3,0.5,0.4,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p1_th0.55,1000,1,300,0.3,0.5,0.55,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p1_th0.72,1000,1,300,0.3,0.5,0.72,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k0.5_none_p1_th0.88,1000,1,300,0.3,0.5,0.88,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k0.5_none_p5_th0.05,2000,5,600,0.3,0.5,0.05,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p5_th0.1,2000,5,600,0.3,0.5,0.1,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p5_th0.18,2000,5,600,0.3,0.5,0.18,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p5_th0.28,2000,5,600,0.3,0.5,0.28,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p5_th0.4,2000,5,600,0.3,0.5,0.4,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p5_th0.55,2000,5,600,0.3,0.5,0.55,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p5_th0.72,2000,5,600,0.3,0.5,0.72,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB11,YES
phase3_decisive_grid,a0.3_k0.5_none_p5_th0.88,2000,5,600,0.3,0.5,0.88,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p1_th0.05,1000,1,300,0.3,2.0,0.05,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p1_th0.1,1000,1,300,0.3,2.0,0.1,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p1_th0.18,1000,1,300,0.3,2.0,0.18,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p1_th0.28,1000,1,300,0.3,2.0,0.28,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p1_th0.4,1000,1,300,0.3,2.0,0.4,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p1_th0.55,1000,1,300,0.3,2.0,0.55,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB08,YES
phase3_decisive_grid,a0.3_k2.0_none_p1_th0.72,1000,1,300,0.3,2.0,0.72,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB03,YES
phase3_decisive_grid,a0.3_k2.0_none_p1_th0.88,1000,1,300,0.3,2.0,0.88,none,400,0.058888888888888886,0.35698373317718507,NOTEBOOK,NB00,YES
phase3_decisive_grid,a0.3_k2.0_none_p5_th0.05,2000,5,600,0.3,2.0,0.05,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p5_th0.1,2000,5,600,0.3,2.0,0.1,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p5_th0.18,2000,5,600,0.3,2.0,0.18,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p5_th0.28,2000,5,600,0.3,2.0,0.28,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p5_th0.4,2000,5,600,0.3,2.0,0.4,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p5_th0.55,2000,5,600,0.3,2.0,0.55,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p5_th0.72,2000,5,600,0.3,2.0,0.72,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.3_k2.0_none_p5_th0.88,2000,5,600,0.3,2.0,0.88,none,400,0.12777777777777777,0.8310641765594482,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p1_th0.05,1000,1,500,0.5,0.5,0.05,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p1_th0.1,1000,1,500,0.5,0.5,0.1,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p1_th0.18,1000,1,500,0.5,0.5,0.18,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p1_th0.28,1000,1,500,0.5,0.5,0.28,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p1_th0.4,1000,1,500,0.5,0.5,0.4,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p1_th0.55,1000,1,500,0.5,0.5,0.55,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p1_th0.72,1000,1,500,0.5,0.5,0.72,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p1_th0.88,1000,1,500,0.5,0.5,0.88,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p5_th0.05,2000,5,1000,0.5,0.5,0.05,none,400,0.21511111111111111,1.2482966899871826,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p5_th0.1,2000,5,1000,0.5,0.5,0.1,none,400,0.21511111111111111,1.2482966899871826,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p5_th0.18,2000,5,1000,0.5,0.5,0.18,none,400,0.21511111111111111,1.2482966899871826,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p5_th0.28,2000,5,1000,0.5,0.5,0.28,none,400,0.21511111111111111,1.2482966899871826,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p5_th0.4,2000,5,1000,0.5,0.5,0.4,none,400,0.21511111111111111,1.2482966899871826,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p5_th0.55,2000,5,1000,0.5,0.5,0.55,none,400,0.21511111111111111,1.2482966899871826,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p5_th0.72,2000,5,1000,0.5,0.5,0.72,none,400,0.21511111111111111,1.2482966899871826,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k0.5_none_p5_th0.88,2000,5,1000,0.5,0.5,0.88,none,400,0.21511111111111111,1.2482966899871826,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k2.0_none_p1_th0.05,1000,1,500,0.5,2.0,0.05,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
phase3_decisive_grid,a0.5_k2.0_none_p1_th0.1,1000,1,500,0.5,2.0,0.1,none,400,0.08233333333333333,0.46129186153411866,NOTEBOOK,NB10,YES
